epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6534.93,1.75192,3.64856,1.94327,0.16989,0.17554,0.14055,0.07404,1.89732,4.87185,2.29148,0.000475889,0.000475889,0.000475889
2,10606.2,1.62435,2.80011,1.90088,0.27581,0.4309,0.33263,0.2303,1.50058,2.54702,1.91497,0.000480872,0.000480872,0.000480872
